"Provincia","Codice","Tipologia","Denominazione","Indirizzo","Civico","Localita","Cod. comune","Comune","CAP","Distr.","Telefono","Caratteristica scuola","Sede direttivo","Codice sede riferimento","Codice sede di direttivo","Denominazione sede direttivo","Indirizzo sede di direttivo","Cod. comune sede dir.","Comune sede di direttivo","CAP sede dir.","Distr. sede dir.","Classificazione Autonomia","Organico Autonomia","Organico Sede","Num. Sedi Autonomia","Macrotipologia Autonomia","Tipologia Autonomia","Tipologia Sede","S-Comune montano","Telefono Sede Autonomia","Fax Sede Autonomia","Fax Sede Autonomia_1","Indirizzo E-Mail Autonomia","Indirizzo E-Mail sede corsi","Indirizzo PEC Autonomia","Indirizzo PEC sede corsi","Codice_ISTAT_comune_SEDE","coorY","coorX","location"
"BG","BGMM87301G","Istituto Istruzione Secondario Primo grado","Secondaria Primo Grado - E. Donadoni","Via P.A. Faccanoni","11/13","-","I437","SARNICO","24067","031","035910446","Ordinaria","SI","BGIC87300E","BGIC87300E","IC di Sarnico","Via P.A. Faccanoni, 11/13","I437","SARNICO","24067","031","Statale","1051","247","7","Primo ciclo","Istituto Comprensivo",,"Totalmente montano","035910446","035914789","035914789","bgic87300e@istruzione.it","secondaria.sarnico@donadonisarnico.it","bgic87300e@pec.istruzione.it","bgic87300e@pec.istruzione.it","16193","45,66928111","9,95755866","(45.66928111, 9.95755866)"
"BG","BGCT703005","Ctp","C.T.P. - Treviglio","Via Caravaggio","52","TREVIGLIO","L400","TREVIGLIO","24047","032","036349459","Ordinaria","NO","BG943943DRM","BG943943DRM","C.P.I.A. - Treviglio","Via Caravaggio , 52","L400","TREVIGLIO","24047","032","Statale","0","0","1","Istruzione Adulti","C.P.I.A.",,"Non montano","0363-48721","0363-303167",,,,,"bgmm140005@pec.istruzione.it","16219","45,51076234","9,6146657","(45.51076234, 9.6146657)"
"BG","BGTA03101C","Istituto Istruzione Secondario Secondo grado","I.T.  Agrario - Stern","Via Borgo Palazzo","128","BERGAMO","A794","BERGAMO","24100","029","035220213","Ordinaria","SI","BGIS03100L","BGIS03100L","Stern","Via Borgo Palazzo, 128","A794","BERGAMO","24125","029","Statale","755","678","2","Secondo ciclo","Istituto di Istruzione Superiore","Istituto Tecnico","Non montano","035220213","035220110","035220110","itasbergamo@tin.it","itasbergamo@tin.it","bgis03100l@pec.istruzione.it","bgis03100l@pec.istruzione.it","16024","45,69217859","9,6967282","(45.69217859, 9.6967282)"
"BG","BGEE871033","Istituto Istruzione Primario","Primaria - S. Pellegrino Terme","Via Vittorio Veneto","29-31","S. PELLEGRINO TERME","I079","SAN PELLEGRINO TERME","24016","027",,"Ordinaria","SI","BGIC87100V","BGIC87100V","IC di San Pellegrino Terme","Via Vittorio Veneto, 29-31","I079","SAN PELLEGRINO TERME","24016","027","Statale","459","210","6","Primo ciclo","Istituto Comprensivo",,"Totalmente montano","034521419","034521419","0345/21419","bgic87100v@istruzione.it","bgic87100v@istruzione.it","bgic87100v@pec.istruzione.it","bgic87100v@pec.istruzione.it","16190","45,83394289","9,66693456","(45.83394289, 9.66693456)"
"BG","BGMM825027","Istituto Istruzione Secondario Primo grado","Secondaria Primo Grado - Morengo","Via Umberto I","9","MORENGO","F720","MORENGO","24050","033","036395088","Ordinaria","NO","BGIC825005","BGIC825005","IC di Bariano","Via Piave, 7","A664","BARIANO","24050","033","Statale","843","124","7","Primo ciclo","Istituto Comprensivo",,"Non montano","0363958350","0363959455",,"bgic825005@istruzione.it",,"bgic825005@pec.istruzione.it","bgic825005@pec.istruzione.it","16140","45,53555596","9,70544103","(45.53555596, 9.70544103)"
"BG","BGEE812026","Istituto Istruzione Primario","Primaria - Orio Al Serio","Largo XXV Aprile","10","0RIO AL SERIO","G108","ORIO AL SERIO","24050","029","035312350","Ordinaria","NO","BGIC812003","BGIC812003","IC di Bergamo, Via Fratelli Calvi","Via Fratelli Calvi, 3/A","A794","BERGAMO","24122","029","Statale","1304","88","7","Primo ciclo","Istituto Comprensivo",,"Non montano","035219395","035270559",,"bgic812003@pec.istruzione.it",,"bgic812003@pec.istruzione.it","bgic812003@pec.istruzione.it","16150","45,67571004","9,6924032","(45.67571004, 9.6924032)"
"BG","BGMM818024","Istituto Istruzione Secondario Primo grado","Secondaria Primo Grado - Abbazia","Via Lunga","60","FRAZ. ABBAZIA","A163","ALBINO","24021","026","035770114","Ordinaria","NO","BGIC818002","BGIC818002","IC di Albino","Via Crespi, 4","A163","ALBINO","24021","026","Statale","1541","129","9","Primo ciclo","Istituto Comprensivo",,"Totalmente montano","035751497","035751893",,"bgic818002@istruzione.it",,"bgic818002@pec.istruzione.it","bgic818002@pec.istruzione.it","16004","45,74747942","9,84103897","(45.74747942, 9.84103897)"
"BG","BGAA84101X","Scuola dell'Infanzia","Infanzia - Caprino Bergamasco","Piazza Vittorio Veneto","s.n.c.","CAPRINO BERGAMASCO","B710","CAPRINO BERGAMASCO","24030","028","035781251","Ordinaria","NO","BGIC841003","BGIC841003","IC di Cisano Bergamasco","Via Giovanni Pascoli , 1","C728","CISANO BERGAMASCO","24034","028","Statale","1204","87","8","Primo ciclo","Istituto Comprensivo",,"Totalmente montano","035781363","035781083",,"bgic841003@istruzione.it",,"bgic841003@pec.istruzione.it","bgic841003@pec.istruzione.it","16052","45,74584294","9,48177427","(45.74584294, 9.48177427)"
"BG","BGPM037013","Istituto Istruzione Secondario Secondo grado","L. Scienze umane - Oberdan","Viale Merisio","14",,"L400","TREVIGLIO","24047","032",,"Ordinaria","SI","BGIS03700G","BGIS03700G","Oberdan","Viale Merisio, 14","L400","TREVIGLIO","24047","032","Statale","1142","153","3","Secondo ciclo","Istituto Tecnico","Liceo","Non montano","036349861","0363303165","0363303165","bgtd02000b@istruzione.it","bgtd02000b@istruzione.it","bgtd02000b@pec.istruzione.it","bgtd02000b@pec.istruzione.it","16219","45,51832279","9,60233785","(45.51832279, 9.60233785)"
"BG","BGAA891011","Scuola dell'Infanzia","Infanzia - Foresto Sparso","Via Bonini","s.n.c.","FORESTO SPARSO","D697","FORESTO SPARSO","24060","031","035930005","Ordinaria","NO","BGIC891004","BGIC891004","IC di Villongo","Via Volta, 1","M045","VILLONGO","24060","031","Statale","1252","91","6","Primo ciclo","Istituto Comprensivo",,"Totalmente montano","035927200","035925024",,"bgic891004@istruzione.it",,"bgic891004@pec.istruzione.it","bgic891004@pec.istruzione.it","16104","45,69262827","9,91500062","(45.69262827, 9.91500062)"
"BG","BGMM8AF01B","Istituto Istruzione Secondario Primo grado","Secondaria Primo Grado - Savoia - Nullo","Via Goldoni","125",,"A794","BERGAMO","24100","029",,"Ordinaria","NO","BGIC8AF00A","BGIC8AF00A","IC di Bergamo (Savoia - Nullo)","Via Rossini , 10","A794","BERGAMO","24129","029","Statale","1237","367","8","Primo ciclo","Istituto Comprensivo",,"Non montano","035261251",,"035400471",,"bgic81000b@istruzione.it",,"bgic81000b@pec.istruzione.it","16024","45,69109965","9,65343921","(45.69109965, 9.65343921)"
"BG","BGMM859019","Istituto Istruzione Secondario Primo grado","Secondaria Primo Grado - Ghisalba","Via Circonvallazione","s.n.c.","GHISALBA","E006","GHISALBA","24050","033","0363900386","Ordinaria","NO","BGIC859008","BGIC859008","IC di Martinengo","Via Zambianchi, 1","E987","MARTINENGO","24057","033","Statale","1152","167","4","Primo ciclo","Istituto Comprensivo",,"Non montano","0363987092","0363947248",,"bgic859008@istruzione.it",,"bgic859008@pec.istruzione.it","bgic859008@pec.istruzione.it","16113","45,59300653","9,75645788","(45.59300653, 9.75645788)"
"BG","BGEE804038","Istituto Istruzione Primario","Primaria - Schilpario","Via Nazionale","1","SCHILPARIO","I530","SCHILPARIO","24020","025","034655065","Ordinaria","NO","BGIC804004","BGIC804004","IC di Vilminore di Scalve","Via Locatelli, 8/A","M050","VILMINORE DI SCALVE","24020","025","Statale","345","65","8","Omnicomprensivo","Omnicomprensivo",,"Totalmente montano","0346651066","034650056",,"bgic804004@istruzione.it",,"bgic804004@pec.istruzione.it","bgic804004@pec.istruzione.it","16195","46,01014352","10,14925343","(46.01014352, 10.14925343)"
"BG","BGAA81401G","Scuola dell'Infanzia","Infanzia - Arcobaleno","Via Borgo Palazzo","22/a","BERGAMO LOC. BORGO PALAZZO","A794","BERGAMO","24100","029","035214113","Ordinaria","NO","BGIC81400P","BGIC81400P","IC di Bergamo, Via Codussi","Via Codussi, 7","A794","BERGAMO","24124","029","Statale","967","104","5","Primo ciclo","Istituto Comprensivo",,"Non montano","035243373","035270323",,"bgic81400p@istruzione.it",,"bgic81400p@pec.istruzione.it","bgic81400p@pec.istruzione.it","16024","45,69825","9,679712","(45.69825, 9.679712)"
"BG","BGMM846017","Istituto Istruzione Secondario Primo grado","Secondaria Primo Grado - Don Bosco","Via Torino","2","CANONICA D'ADDA","B618","CANONICA D'ADDA","24040","032","029094389","Ordinaria","NO","BGIC846006","BGIC846006","IC di Fara Gera d'Adda","Piazzale Maritain, 3","D490","FARA GERA D'ADDA","24045","032","Statale","1570","123","8","Primo ciclo","Istituto Comprensivo",,"Non montano","0363688710","0363395980",,"bgic846006@istruzione.it",,"bgic846006@pec.istruzione.it","bgic846006@pec.istruzione.it","16049","45,57452912","9,54159415","(45.57452912, 9.54159415)"
"BG","BGAA82101P","Scuola dell'Infanzia","Infanzia - Busa","Via Olera","7","FRAZ. BUSA","A246","ALZANO LOMBARDO","24022","026","035510318","Ordinaria","NO","BGIC82100T","BGIC82100T","IC di Alzano Lombardo","Via F.lli Valenti, 6","A246","ALZANO LOMBARDO","24022","026","Statale","1019","125","5","Primo ciclo","Istituto Comprensivo",,"Totalmente montano","035511390","035515693",,"bgic82100t@istruzione.it",,"bgic82100t@pec.istruzione.it","bgic82100t@pec.istruzione.it","16008","45,74825566","9,71447769","(45.74825566, 9.71447769)"
"BG","BGMM86901X","Istituto Istruzione Secondario Primo grado","Secondaria Primo Grado - Ceresa","Via Castelli","19","SAN GIOVANNI BIANCO","H910","SAN GIOVANNI BIANCO","24015","027","034541433","Ordinaria","SI","BGIC86900V","BGIC86900V","IC di San Giovanni Bianco","Via Castelli, 19","H910","SAN GIOVANNI BIANCO","24015","027","Statale","612","224","7","Primo ciclo","Istituto Comprensivo",,"Totalmente montano","034543620","034543620","034543620","bgic86900v@istruzione.it","bgic86900v@istruzione.it","bgic86900v@pec.istruzione.it","bgic86900v@pec.istruzione.it","16188","45,87022388","9,65468745","(45.87022388, 9.65468745)"
"BG","BGMM87701V","Istituto Istruzione Secondario Primo grado","Secondaria Primo Grado - A. Lanfranchi","Via Roccoli","1/e","-","I858","SORISOLE","24010","029","035571446","Ordinaria","SI","BGIC87700T","BGIC87700T","IC di Sorisole - Ponteranica","Via Roccoli, 1/E","I858","SORISOLE","24010","029","Statale","1179","273","6","Primo ciclo","Istituto Comprensivo",,"Parzialmente montano","035-571446","035-574856","035-574856","bgic87700t@istruzione.it","bgic87700t@istruzione.it","bgic87700t@pec.istruzione.it","bgic87700t@pec.istruzione.it","16202","45,74128111","9,65769964","(45.74128111, 9.65769964)"
"BG","BGEE88304A","Istituto Istruzione Primario","Primaria - Zandobbio","Via Orti","14","ZANDOBBIO","M144","ZANDOBBIO","24060","030","035940271","Ordinaria","NO","BGIC883005","BGIC883005","IC di Trescore Balneario","Via Lorenzo Lotto, 15","L388","TRESCORE BALNEARIO","24069","030","Statale","1458","131","6","Primo ciclo","Istituto Comprensivo",,"Totalmente montano","035940086","035945451",,"bgic883005@istruzione.it",,"bgic883005@pec.istruzione.it","bgic883005@pec.istruzione.it","16244","45,68863372","9,85454528","(45.68863372, 9.85454528)"
"BG","BGEE826013","Istituto Istruzione Primario","Primaria - Bonate Sopra","Via S. Francesco d'Assisi","5","BONATE SOPRA","A963","BONATE SOPRA","24040","028","035991655","Ordinaria","NO","BGIC826001","BGIC826001","IC di Bonate Sopra","Via San Francesco D'Assisi, 7","A963","BONATE SOPRA","24040","028","Statale","1019","341","5","Primo ciclo","Istituto Comprensivo",,"Non montano","035991217","0359000218",,"bgic826001@istruzione.it",,"bgic826001@pec.istruzione.it","bgic826001@pec.istruzione.it","16030","45,68424525","9,55867881","(45.68424525, 9.55867881)"
"BG","BGTF023016","Istituto Istruzione Secondario Secondo grado","I.T.  Tecnologico - Riva","Via Cortivo","30","-","I437","SARNICO","24067","031","035914290","Ordinaria","NO","BGIS02300N","BGIS02300N","Serafino Riva","Via Cortivo, 32","I437","SARNICO","24067","031","Statale","713","154","5","Secondo ciclo","Istituto di Istruzione Superiore","Istituto Tecnico","Totalmente montano","035914290","035911236",,"bgis02300n@istruzione.it",,"bgis02300n@pec.istruzione.it","bgis02300n@pec.istruzione.it","16193","45,66869745","9,95183259","(45.66869745, 9.95183259)"
"BG","BGMM846039","Istituto Istruzione Secondario Primo grado","Secondaria Primo Grado - G.Quarenghi","Via Verdi","25","PONTIROLO NUOVO","G867","PONTIROLO NUOVO","24040","032","0363880116","Ordinaria","NO","BGIC846006","BGIC846006","IC di Fara Gera d'Adda","Piazzale Maritain, 3","D490","FARA GERA D'ADDA","24045","032","Statale","1570","136","8","Primo ciclo","Istituto Comprensivo",,"Non montano","0363688710","0363395980",,"bgic846006@istruzione.it",,"bgic846006@pec.istruzione.it","bgic846006@pec.istruzione.it","16172","45,57182285","9,5724477","(45.57182285, 9.5724477)"
"BG","BGEE87304Q","Istituto Istruzione Primario","Primaria - Sarnico","Via P.A. Faccanoni","11","SARNICO","I437","SARNICO","24067","031","035910446","Ordinaria","NO","BGIC87300E","BGIC87300E","IC di Sarnico","Via P.A. Faccanoni, 11/13","I437","SARNICO","24067","031","Statale","1051","294","7","Primo ciclo","Istituto Comprensivo",,"Totalmente montano","035910446","035914789",,"bgic87300e@istruzione.it","bgic87300e@istruzione.it","bgic87300e@pec.istruzione.it","bgic87300e@pec.istruzione.it","16193","45,66928111","9,95755866","(45.66928111, 9.95755866)"
"BG","BGEE898022","Istituto Istruzione Primario","Primaria - Pascoli","Via G. Pascoli","8",,"H509","ROMANO DI LOMBARDIA","24058","033",,"Ordinaria","NO","BGIC89800V","BGIC89800V","IC di Romano di Lombardia","Via Mazzini , 5","H509","ROMANO DI LOMBARDIA","24058","033","Statale","1045","192","4","Primo ciclo","Istituto Comprensivo",,"Non montano","0363910432","0363910432",,"bgmm110009@istruzione.it",,,"bgee898022@pec.istruzione.it","16183","45,52107394","9,74861646","(45.52107394, 9.74861646)"
"BG","BGRC01401T","Istituto Istruzione Secondario Secondo grado","I.P.  Servizi - Lotto","Via Dell'Albarotto","23","-","L388","TRESCORE BALNEARIO","24069","030","035944782","Ordinaria","SI","BGIS01400V","BGIS01400V","Lotto","Via dell'Albarotto, 23","L388","TRESCORE BALNEARIO","24069","030","Statale","1433","583","2","Secondo ciclo","Istituto di Istruzione Superiore","Istituto Professionale","Totalmente montano","035/944782","035/944220",,"bgis01400v@istruzione.it",,"bgis01400v@pec.istruzione.it","bgis01400v@pec.istruzione.it","16218","45,68927884","9,82931986","(45.68927884, 9.82931986)"
"BG","BGMM82901D","Istituto Istruzione Secondario Primo grado","Secondaria Primo Grado - Brembate","Via Don Todeschini","24","BREMBATE","B137","BREMBATE","24041","028","035801107","Ordinaria","NO","BGIC82900C","BGIC82900C","IC di Brembate","Via Oratorio, 14","B137","BREMBATE","24041","028","Statale","693","224","4","Primo ciclo","Istituto Comprensivo",,"Non montano","035 - 801047","035 - 4874731","035 - 802098","bgic82900c@istruzione.it",,"bgic82900c@pec.istruzione.it","bgic82900c@pec.istruzione.it","16037","45,6039069","9,5557691","(45.6039069, 9.5557691)"
"BG","BGTL020507","Istituto Istruzione Secondario Secondo grado","I.T. Tecnologico - Quarenghi serale","Via Europa","27","-","A794","BERGAMO","24125","029","035319444","Ordinaria","SI","BGTL02000T","BGTL02000T","Quarenghi","Via Europa, 27","A794","BERGAMO","24125","029","Statale","808","40","2","Secondo ciclo","Istituto Tecnico","Istituto Tecnico","Non montano","035319444","035311704","035/311704","itgbg@tin.it",,"bgtl02000t@pec.istruzione.it","bgtl02000t@pec.istruzione.it","16024","45,68661337","9,68457768","(45.68661337, 9.68457768)"
"BG","BGAA896014","Scuola dell'Infanzia","Infanzia - Scariota","Via Cavalli","s.n.c.",,"H509","ROMANO DI LOMBARDIA","24058","033",,"Ordinaria","NO","BGIC896007","BGIC896007","Fermi","Via Giovanni da Romano, 27","H509","ROMANO DI LOMBARDIA","24058","033","Statale","854","191","4","Primo ciclo","Istituto Comprensivo",,"Non montano",,,,,,,"bgaa896014@pec.istruzione.it","16183","45,5166333","9,7605377","(45.5166333, 9.7605377)"
"BG","BGMM875017","Istituto Istruzione Secondario Primo grado","Secondaria Primo Grado - Mons. Carozzi","Viale Lombardia","5","SERIATE","I628","SERIATE","24068","030","035303490","Ordinaria","NO","BGIC875006","BGIC875006","IC di Seriate, via del Fabro","Via Del Fabro, 22","I628","SERIATE","24068","030","Statale","1068","289","5","Primo ciclo","Istituto Comprensivo",,"Non montano","035294016","0354240140",,"bgic875006@istruzione.it",,"bgic875006@pec.istruzione.it","bgic875006@pec.istruzione.it","16198","45,69092472","9,72652907","(45.69092472, 9.72652907)"
"BG","BGEE81901X","Istituto Istruzione Primario","Primaria - Almenno San Bartolomeo","Via IV  Novembre","s.n.c.","ALMENNO SAN BARTOLOMEO","A216","ALMENNO SAN BARTOLOMEO","24030","028","035640108","Ordinaria","NO","BGIC81900T","BGIC81900T","IC di Almenno San Bartolomeo","Via IV Novembre,","A216","ALMENNO SAN BARTOLOMEO","24030","028","Statale","1017","357","5","Primo ciclo","Istituto Comprensivo",,"Totalmente montano","035644220","035644885",,"bgic81900t@istruzione.it",,"bgic81900t@pec.istruzione.it","bgic81900t@pec.istruzione.it","16006","45,74663019","9,58005269","(45.74663019, 9.58005269)"
"BG","BGMM86603E","Istituto Istruzione Secondario Primo grado","Secondaria Primo Grado - D. Alighieri","Via Piave","15","PONTE SAN PIETRO","G856","PONTE SAN PIETRO","24036","028","035611196","Ordinaria","NO","BGIC86600B","BGIC86600B","IC di Ponte San Pietro","Via Piave, 34","G856","PONTE SAN PIETRO","24036","028","Statale","806","255","6","Primo ciclo","Istituto Comprensivo",,"Non montano","035611196","0354376720",,"bgic86600b@istruzione.it",,"bgic86600b@pec.istruzione.it","bgic86600b@pec.istruzione.it","16170","45,69881708","9,58996576","(45.69881708, 9.58996576)"
"BG","BGPS016011","Istituto Istruzione Secondario Secondo grado","L. Scientifico - Valle Seriana","Via Marconi","45","GAZZANIGA","D952","GAZZANIGA","24025","026","035712229","Ordinaria","SI","BGIS01600E","BGIS01600E","Valle Seriana","Via Marconi, 45","D952","GAZZANIGA","24025","026","Statale","1071","301","3","Secondo ciclo","Istituto di Istruzione Superiore","Liceo","Totalmente montano","035712229","035720956","035720956","bgis01600e@pec.istruzione.it","segreteria@isissvalleseriana.it","bgis01600e@pec.istruzione.it","bgis01600e@pec.istruzione.it","16111","45,7968949","9,8370715","(45.7968949, 9.8370715)"
"BG","BGEE82802Q","Istituto Istruzione Primario","Primaria - Berzo S. Fermo","Via Vittorio Veneto","23","BERZO S.FERMO","A815","BERZO SAN FERMO","24060","030","035820140","Ordinaria","NO","BGIC82800L","BGIC82800L","IC di Borgo di Terzo","Largo Vitali, 3","B010","LUZZANA","24069","030","Statale","549","74","5","Primo ciclo","Istituto Comprensivo",,"Totalmente montano","035822418","035820296",,"bgic82800l@istruzione.it",,"bgic82800l@pec.istruzione.it","bgic82800l@pec.istruzione.it","16025","45,71880295","9,90139248","(45.71880295, 9.90139248)"
"BG","BGAA8AA014","Scuola dell'Infanzia","Infanzia - Urgnano","Via Bersaglieri","68",,"L502","URGNANO","24059","029",,"Ordinaria","NO","BGIC8AA007","BGIC8AA007","IC di Urgnano","Via dei Bersaglieri, 68","L502","URGNANO","24059","029","Statale","909","129","4","Primo ciclo","Istituto Comprensivo",,"Non montano",,,,,,,"bgaa8aa014@pec.istruzione.it","16222","45,60245367","9,68615055","(45.60245367, 9.68615055)"
"BG","BGMM89901Q","Istituto Istruzione Secondario Primo grado","Secondaria Primo Grado - Abate G. Bravi","Via Rosmini","12",,"C894","COLOGNO AL SERIO","24055","033",,"Ordinaria","SI","BGIC89900P","BGIC89900P","IC di Cologno al Serio","Via Rosmini, 12","C894","COLOGNO AL SERIO","24055","033","Statale","1046","315","3","Primo ciclo","Istituto Comprensivo",,"Non montano","035896031","0354872415","035896031","bgmm068004@istruzione.it","bgmm068004@istruzione.it",,"bgic89900p@pec.istruzione.it","16079","45,58122863","9,71048229","(45.58122863, 9.71048229)"
"BG","BGAA83504Q","Scuola dell'Infanzia","Infanzia - P. Giovanni XXIII","Via Papa Giovanni XXIII","23",,"B731","CARAVAGGIO","24043","032",,"Ordinaria","NO","BGIC83500Q","BGIC83500Q","IC di Caravaggio","Via Zenale e Butinone, 20","B731","CARAVAGGIO","24043","032","Statale","1397","244","7","Primo ciclo","Istituto Comprensivo",,"Non montano","036350598","0363351700",,"bgic83500q@istruzione.it",,"bgic83500q@pec.istruzione.it","bgaa83504q@pec.istruzione.it","16053","45,49115693","9,6390198","(45.49115693, 9.6390198)"
