"CODICE_FARMACIA","DESCRIZIONE_FARMACIA","PARTITA_IVA","INDIRIZZO","COMUNE","FRAZIONE","CAP","PROVINCIA","CODICE_ISTAT","LATITUDINE","LONGITUDINE","LOCATION"
"MN0268","FARMACIA GRUSI DOTT.SSA MARZIA & C. S.A.S.","02450210204","LARGO ANDREA NEGRI, 2","CURTATONE","LEVATA","46010","MN","20.021","45,12271611259","10,76623393724","POINT (10.76623393724 45.122716112585)"
"VA0382","FARMACIA BARIOLA DI VASINI D.SSA SABRINA E CORNEO D.SSA PAOLA MARIA SNC","03599550120","VIA GIUSEPPE VERDI, 445","CARONNO PERTUSELLA",,"21042","VA","12.034","45,5822948998","9,0530884308","POINT (9.0530884308 45.5822948998)"
"PV0547","FARMACIA MOTTA S.R.L.","02782360180","VIA GRAVELLONA, 31","VIGEVANO",,"27029","PV","18.177","45,32370337999","8,83986438105","POINT (8.839864381049 45.323703379987)"
"PV0492","FARMACIA ZUCCA","02591470188","CORSO DELLA REPUBBLICA, 17","FERRERA ERBOGNONE",,"27032","PV","18.062","45,11428320553","8,86665696691","POINT (8.866656966911 45.114283205529)"
"MI4114","DEL CORSO SRL","08030220969","CORSO GARIBALDI","CORBETTA",,"20011","MI","15.085","45,46771084679","8,9200402605","POINT (8.920040260498 45.467710846787)"
"PV0416","FARMACIA SOMENZI S.R.L.","02195690181","VIA LUIGI VILLANI, 121","ZINASCO",,"27030","PV","18.190","45,12476313142","9,02550264691","POINT (9.025502646906 45.124763131424)"
"MI1763","DOTT. AUGUSTO DE LUCA SAS","06759200964","VIA NINO BIXIO, 1","MILANO",,"20129","MI","15.146","45,47206130599","9,20711897742","POINT (9.207118977423 45.472061305992)"
"VA0413","NUOVA FARMACIA FERNESE SRL","03702650122","VIA TRIESTE","FERNO",,"21010","VA","12.068","45,6189218888","8,7669844873","POINT (8.7669844873 45.6189218888)"
"PV0513","FARMACIA 3RE S.N.C.","02673490187","VIA TOGLIATTI, 77","CAVA MANARA","TRE RE","27051","PV","18.041","45,1252707702","9,1193253561","POINT (9.1193253561 45.1252707702)"
"MI2024","DEL LAZZARETTO DR. MOIA FABIO","13432380965","VIA PANFILO CASTALDI, 29","MILANO",,"20124","MI","15.146","45,47652860893","9,20357510876","POINT (9.203575108761 45.476528608928)"
"MI1207","CHIAUDANI","08995190157","VIA FOSSE ARDEATINE, 2","RHO",,"20017","MI","15.182","45,53541491532","9,04094900426","POINT (9.040949004256 45.535414915316)"
"MN0225","FARMACIA SANTA MARGHERITA DI GRASSI ANTONELLA","01097860074","STRADA SOLAROLO, 107","GOITO","SOLAROLO","46044","MN","20.026","45,23878915544","10,59448761417","POINT (10.594487614171 45.238789155438)"
"MI1851","GASTALDI DI DR.PIETRO BENZI & C. SNC","09162190962","VIA PRIVATA CESARE FACCIOLI, 2","MILANO",,"20152","MI","15.146","45,46106688933","9,0918988218","POINT (9.091898821803 45.461066889326)"
"MI0768","A.S.C. SRL COMUNALE N.1 NOVATE MILANESE","11670260154","VIA GIACOMO MATTEOTTI, 7","NOVATE MILANESE",,"20026","MI","15.157","45,5308041142","9,14188120009","POINT (9.141881200085 45.530804114198)"
"BS0133","FARM. FUSAR POLI GIOVANNA","00194060984","VIA VITTORIO VENETO, 32","VEROLAVECCHIA",,"25029","BS","17.196","45,32892125884","10,05637663069","POINT (10.056376630688 45.328921258837)"
"MI1914","GORNI VITALI DI GORNI AUGUSTA E VITALI FRANCESCA","10559070965","VIA ABRAMO LINCOLN, 63","CINISELLO BALSAMO",,"20092","MI","15.077","45,55556559728","9,22779822221","POINT (9.227798222205 45.555565597283)"
"MI4277","BOLLATE LIBERTA'","12283700966","PIAZZA MARTIRI DELLA LIBERTA', 5","BOLLATE",,"20021","MI","15.027","45,54473521446","9,11748935893","POINT (9.117489358931 45.544735214461)"
"VA0307","FARMADUE SRL - FARMACIA S. RITA DI BRENTA","03102930124","VIA VALCUVIA, 3","BRENTA",,"21030","VA","12.019","45,8937409827","8,68211243706","POINT (8.682112437059 45.893740982699)"
"LO0075","BARONI MARIAGRAZIA","04096340965","PIAZZA ROMA","CASALMAIOCCO",,"26831","LO","98.009","45,35351359768","9,37333748181","POINT (9.37333748181 45.353513597675)"
"BS0793","FARM. SAN ROCCO SNC DI BINI DONATA E GERVASONI SIMONA","04201760982","VIA INDUSTRIALE, 64","GHEDI",,"25016","BS","17.078","45,4010929891","10,3058769322","POINT (10.3058769322 45.4010929891)"
"BS0814","FARM. TRAMONTI DI TRAMONTI GIOVANNI E C. SAS","04281380982","PIAZZA EUROPA, 6","CARPENEDOLO",,"25013","BS","17.039","45,36243439436","10,42946801075","POINT (10.429468010752 45.362434394361)"
"VA0216","FARMACIA MASCHERONI","02131710127","VIA ROMA, 27","VIGGIU'",,"21059","VA","12.139","45,87156900478","8,90655700532","POINT (8.906557005321 45.871569004781)"
"BS0058","COMUNALE PIAN CAMUNO","00574180980","P.ZZA GIUSEPPE VERDI 8","PIAN CAMUNO",,"25050","BS","17.142","45,8305621","10,1613773","POINT (10.1613773 45.8305621)"
"CO0517","FARMACIA DI GIRONICO DOTT. BORGIOLI G. E C. SNC","03871200139","VIA LEONARDO DA VINCI, 2","COLVERDE","GIRONICO","22041","CO","13.251","45,79901168859","9,00421430776","POINT (9.004214307761 45.799011688586)"
"MI0905","A.F.M. N. 59","13195220150","VIA GIANFRANCO ZURETTI, 9","MILANO",,"20125","MI","15.146","45,49193660053","9,20685846787","POINT (9.206858467873 45.49193660053)"
"BG0675","FARMACIA VILLA DI SERIO S.R.L.","04302070166","PIAZZA MADRE TERESA DI CALCUTTA, 2","VILLA DI SERIO",,"24020","BG","16.240","45,7152604511","9,7324445428","POINT (9.7324445428 45.7152604511)"
"MI6150","SERENIFARMA SRL","11063100967","VIA I MAGGIO, 9","MEDIGLIA","MOMBRETTO","20076","MI","15.139","45,42719528332","9,36378001672","POINT (9.363780016715 45.427195283318)"
"MI1702","ROSSETTO SNC & C.","05315770965","PIAZZALE PAOLO GORINI, 14","MILANO",,"20133","MI","15.146","45,47368668275","9,23057715838","POINT (9.230577158383 45.473686682747)"
"BS0538","FARM. COMUNALE MANERBIO SRL","02746890983","VIA CREMONA, 10","MANERBIO",,"25025","BS","17.103","45,35132188298","10,13959871032","POINT (10.139598710323 45.351321882977)"
"MI1374","CERTOSA SAS","10704850154","VIALE CERTOSA, 121","MILANO",,"20151","MI","15.146","45,4949180854","9,14034580306","POINT (9.140345803062 45.4949180854)"
"LO0110","SANTA CATERINA SAS DI DEL CORNO ORNELLA & C.","09274160960","VIA ROMA, 17","CASELLE LURANI",,"26853","LO","98.012","45,27900507919","9,35814461175","POINT (9.358144611753 45.279005079194)"
"VA0422","FARMACIA CASCINE MAGGIO SRL","03726970126","VIA LOMBARDIA, 34","CASTRONNO",,"21040","VA","12.047","45,7583599192","8,8133485656","POINT (8.8133485656 45.7583599192)"
"MI8250","FARMA MONZA SRL","13390090960","VIALE UGO FOSCOLO N.63/1","MONZA",,"20052","MB","108.033","45,5852061","9,27619191","POINT (9.27619191 45.5852061)"
"CO0550","FARMACIA DI TORNO SRL","04189850136","VIA ARDONA, 2","TORNO",,"22020","CO","13.223","45,85702072275","9,11491777368","POINT (9.114917773682 45.857020722749)"
"MI1623","MANCA SNC","13266660151","VIA GIACINTO SERRATI MENOTTI,12","MILANO",,"20138","MI","15.146","45,4420751","9,2628883","POINT (9.2628883 45.4420751)"
"MI8100","FARMACIA DEL VILLAGGIO 2 SNC","07354790961","VIA LUCANIA, 30","CESANO MADERNO",,"20031","MB","108.019","45,6287476","9,14904269","POINT (9.14904269 45.6287476)"
"MI6138","ALBORETO SNC DR TADINI","10390430964","PIAZZA MICHELE ALBORETO, 64","ROZZANO",,"20089","MI","15.189","45,3809172871","9,1621249212","POINT (9.1621249212 45.3809172871)"
"MI8212","FARMACIA NUOVA DR. DESIO SRL","11509870967","VIA LEONARDO DA VINCI, 14","VILLASANTA",,"20058","MB","108.049","45,6074083","9,30867999","POINT (9.30867999 45.6074083)"
"MI0642","A.F.M. N. 01","13195220150","VIA DEL LIRI, 1","MILANO",,"20138","MI","15.146","45,44522090137","9,24849330878","POINT (9.248493308783 45.445220901372)"
"BS0838","SAN GIACOMO SRL","04421590987","VIA CHIUSURE, 20","BRESCIA",,"25127","BS","17.029","45,5492730092","10,1850601799","POINT (10.1850601799 45.5492730092)"
"MI1475","A.S.F. COMUNALE N.3 RHO","11994300157","VIA SALVATORE DI GIACOMO","RHO",,"20017","MI","15.182","45,53743671418","9,01769944887","POINT (9.017699448866 45.53743671418)"
"CR0166","FARMACIA SANTA BARBARA DI CACCIAPUOTI DOTT. FABIO","02222050342","VIA RISORGIMENTO, 1","FORMIGARA",,"26020","CR","19.044","45,2317006","9,75612031","POINT (9.75612031 45.2317006)"
"MI8121","FARMACIA DEL CORSO SRL","08875010962","CORSO MILANO,12/D","MONZA",,"20900","MB","108.033","45,5796502","9,27257799","POINT (9.27257799 45.5796502)"
"BG0713","FARMACIA DI BAGNATICA S.A.S - DR. ANTONIO ANTONIOLI & C.","04455610164","PIAZZA GIANANDREA GAVAZZENI","BAGNATICA",,"24060","BG","16.018","45,66257320608","9,78173641012","POINT (9.781736410121 45.662573206081)"
"MI6045","FAR.COM. SRL TRECELLA","04146750965","VIA DELLA STELLA, 2","POZZUOLO MARTESANA","TRECELLA","20060","MI","15.178","45,51515589725","9,47971598687","POINT (9.479715986866 45.51515589725)"
"BS0555","FARM. FORMENTI DI QUATTRINI G.","03167460173","VIA TRENTO 1H","BRESCIA",,"25128","BS","17.029","45,54671828893","10,22040356427","POINT (10.220403564265 45.546718288933)"
"BG0113","CASTELLI","01410520165","CORSO MONTE ROSA","SELVINO",,"24020","BG","16.197","45,78205851409","9,75537884503","POINT (9.755378845034 45.782058514087)"
"MI0049","COOP.FARM.PONTACCIO","00774640155","VIA PONTACCIO, 22","MILANO",,"20121","MI","15.146","45,47222278336","9,18411341924","POINT (9.184113419235 45.472222783357)"
"MN0262","FARMACIA S.PIO X SNC F.LLI DOTT.RI ZANONI CARLO E MATTEO","02414930202","PIAZZA ALCIDE DE GASPERI, 3","MANTOVA",,"46100","MN","20.030","45,15171871295","10,77680988739","POINT (10.776809887391 45.151718712948)"
"BS0761","FARM. SCHIAVO DEL DOTT. ANTONIO SCHIAVO E C SNC","04095950988","VIA TRIESTE, 11","BRESCIA",,"25121","BS","17.029","45,53784541578","10,22211196377","POINT (10.22211196377 45.537845415779)"
"CO0471","FARMACIA CAMERLATA SNC DELLE DOTT.SSE ELENA NOCCO E MARTA MERAZZI","03679630131","PIAZZALE CAMERLATA","COMO",,"22100","CO","13.075","45,79047434302","9,08509007613","POINT (9.085090076125 45.790474343016)"
"BS0730","F. BIANCHI SNC DI BIANCHI ANTONELLA E TURELLI MAURO","04008260988","VIA ROSE DI SOTTO, 2","BRESCIA",,"25126","BS","17.029","45,53550365361","10,19981249702","POINT (10.199812497017 45.535503653609)"
"MI1835","WAGNER SRL","08844420961","VIA MICHELANGELO BUONARROTI, 5","MILANO",,"20149","MI","15.146","45,46748730143","9,15496292019","POINT (9.15496292019 45.467487301429)"
"LO0103","DEL CENTRO","07924320968","VIA MARSALA, 8","LODI",,"26900","LO","98.031","45,31322281589","9,50229691784","POINT (9.50229691784 45.313222815894)"
"MI1162","PERINO","02145460123","VIA ENRICO TOTI, 1","DAIRAGO",,"20036","MI","15.099","45,56635478305","8,86661472212","POINT (8.866614722119 45.56635478305)"
"MI1441","BRACCIO SRL","11015890152","VIA FELICE CASATI, 32","MILANO",,"20124","MI","15.146","45,47969009517","9,20167811643","POINT (9.201678116434 45.479690095167)"
"BG0506","FARM. SALUS S.N.C. D.RI M.MARRONI E D.TUSCANO & C","03322300165","VIA CA' ZENUCCHI, 95","PEIA",,"24020","BG","16.161","45,79936779374","9,89761395841","POINT (9.897613958408 45.799367793742)"
"MI4223","MAIOCCHI DELLA DR.SSA MAIOCCHI MARIA ELENA & C. SAS","11472620969","VIA DELLE AZALEE, 5","LEGNANO",,"20025","MI","15.118","45,59391734533","8,88883411226","POINT (8.888834112263 45.59391734533)"
"MN0230","FARMACIE RIUNITE AL MORO E S.ANNA SRL - S.ANNA","02184510200","VIA CISA, 195","BORGO VIRGILIO","CAPPELLETTA","46034","MN","20.071","45,10733720619","10,77985620628","POINT (10.779856206281 45.107337206186)"
"MI1734","AL PORTELLO SNC","05858450967","VIA GROSOTTO, 5","MILANO",,"20149","MI","15.146","45,49123369413","9,14742197336","POINT (9.14742197336 45.49123369413)"
"MI0777","COMUNALI SESTO SRL N.7 MARELLI","02547190963","VIALE ERCOLE MARELLI, 79","SESTO SAN GIOVANNI",,"20099","MI","15.209","45,53113800731","9,23046341596","POINT (9.230463415957 45.531138007311)"
"MI2001","BANDI SRL","12444410968","VIA ROVERETO, 14","MILANO",,"20127","MI","15.146","45,49497939902","9,21971823518","POINT (9.219718235182 45.494979399021)"
"CO0182","SAN FERMO SERVIZI S.R.L.","02888570138","PIAZZA XXVII MAGGIO, 1","SAN FERMO DELLA BATTAGLIA",,"22042","CO","13.206","45,80811669855","9,04881399546","POINT (9.048813995462 45.808116698548)"
"BS0103","FARM. COMUNALE GHEDI 1","03430450175","VIA TRENTO","GHEDI",,"25016","BS","17.078","45,40162764974","10,27673837742","POINT (10.276738377417 45.40162764974)"
"MN0336","FARMACIA COMUNALE - AZIENDA SPECIALE GUIDIZZOLO SERVIZI","02680140205","VIA SOLFERINO, 84","GUIDIZZOLO",,"46040","MN","20.028","45,3202572862","10,5782676631","POINT (10.5782676631 45.3202572862)"
"MI8062","BAIO BUCCINO SNC","05315910967","VIA VITTORIO VENETO, 5","BRESSO",,"20091","MI","15.032","45,54300171116","9,18839036915","POINT (9.188390369149 45.543001711156)"
"MI1632","LIBERTY","01682210032","VIA SAN PAOLO, 13","MILANO",,"20121","MI","15.146","45,46624698931","9,19307576921","POINT (9.193075769205 45.466246989307)"
"MI0252","A.F.M. N. 43","13195220150","PIAZZALE VINCENZO CUOCO, 4","MILANO",,"20137","MI","15.146","45,45093077954","9,22472508122","POINT (9.224725081224 45.450930779544)"
"PV0581","FARMACIA BORGO SAN SIRO S.R.L.","02974130185","VIA ROMA, 34","BORGO SAN SIRO",,"27020","PV","18.018","45,23442550806","8,9130913694","POINT (8.913091369398 45.234425508061)"
"MI4054","PASETTI SNC DEI DR. ROBERTA E DANILO PASETTI","05085810967","VIA UMBERTO I, 44","ROBECCHETTO CON INDUNO",,"20020","MI","15.183","45,53176568613","8,76609441301","POINT (8.766094413011 45.53176568613)"
"CR0093","DE MAESTRI","00758970198","VIA SAN BIAGIO, 4","IZANO",,"26010","CR","19.054","45,35579898644","9,75279571011","POINT (9.752795710113 45.35579898644)"
"BS0840","FARM. ROSSI DOTT.SSA ROBERTA SRL","04431680984","VIA ALESSANDRO MANZONI","LENO","CASTELLETTO","25024","BS","17.088","45,33034038047","10,22945970773","POINT (10.229459707732 45.330340380469)"
"BG0635","FARMACIA AMBROGINA SNC DI AMBROSINI SILVIA E CUOCO GINA","04220000162","VIA DASTE E SPALENGA 26B","GORLE","GORLE","24020","BG","16.115","45,696493008","9,7106684324","POINT (9.7106684324 45.696493008)"
"LC0149","FARMACIA TIZZONI SNC DI TIZZONI BRUNA & C.","03390200131","VIA ALCIDE DE GASPERI, 69","CESANA BRIANZA",,"23861","LC","97.021","45,8172125339","9,30543257203","POINT (9.305432572026 45.817212533902)"
"CO0454","FARMACIA SANT'ANNA SNC","03490200130","VIA VARESINA, 93","COMO","REBBIO","22100","CO","13.075","45,79128319667","9,07480233772","POINT (9.074802337715 45.791283196672)"
"MI0453","A.S.F. COMUNALE N.1 RHO","11994300157","VIA CARDINALE ANDREA FERRARI, 66","RHO",,"20017","MI","15.182","45,53141386744","9,03678575564","POINT (9.036785755639 45.531413867437)"
"PV0367","FARMACIA EREDI DR. ROMANO S.N.C.","01935020188","VIA PER CASTEGGIO, 24","MONTEBELLO DELLA BATTAGLIA",,"27054","PV","18.095","45,00454590423","9,10288288682","POINT (9.102882886819 45.004545904232)"
"MI6033","BOZZELLI DR.ANDREA","05087930961","VIA EUROPA, 4","TRUCCAZZANO",,"20060","MI","15.224","45,48514751042","9,46841290662","POINT (9.468412906615 45.485147510415)"
"CO0490","FARMAGORA' CANTU' SRL","03718080132","VIA ANDREA ALCIATO, 1","CANTU'",,"22063","CO","13.041","45,7387039791","9,1331489334","POINT (9.1331489334 45.7387039791)"
"VA0116","FARMACIA VITTORIO PESCATORE","02632170128","VIA MADONNA, 22","CUASSO AL MONTE","CUASSO AL PIANO","21050","VA","12.058","45,89477194249","8,87806718683","POINT (8.878067186828 45.894771942489)"
"BS0875","FARM. BERTOLI SRL","04717920989","VIA GIUSEPPE MAZZINI, 40","BASSANO BRESCIANO",,"25020","BS","17.013","45,32758877517","10,12544057361","POINT (10.125440573612 45.32758877517)"
"MI1531","TARAMELLI","11757030157","VIA PIAVE, 24","POGLIANO MILANESE",,"20005","MI","15.176","45,53770953737","8,99403150244","POINT (8.994031502443 45.537709537365)"
"MI0744","A.F.M. N. 27","13195220150","PIAZZA TITO IMPERATORE 8","MILANO",,"20159","MI","15.146","45,4683807","9,17312736","POINT (9.17312736 45.4683807)"
"MN0312","FARMACIA BASSANO S.R.L.","02622140206","VIA 25 APRILE, 14","MARMIROLO",,"46045","MN","20.033","45,22037521713","10,75571909116","POINT (10.755719091164 45.220375217134)"
"PV0529","FARMACIA MAZZOCCHI S.N.C.","02716950189","VIA ROMA","CARBONARA AL TICINO",,"27020","PV","18.030","45,18154198545","9,05343401667","POINT (9.053434016674 45.181541985451)"
"SO0102","FARMACIA SAN MARTINO S.R.L.","00906700141","LARGO RISORGIMENTO, 18","TIRANO",,"23037","SO","14.066","46,21605801686","10,17124160667","POINT (10.171241606665 46.216058016855)"
"MI4236","CENTRALE SRL","12087480963","VIA BRUNO BUOZZI, 3","PADERNO DUGNANO",,"20037","MI","15.166","45,56854501626","9,16436389515","POINT (9.164363895154 45.568545016259)"
"LC0128","LOMAGNA S.A.S. DEL DOTTOR POLITO & C","03062300136","VIA MILANO 3BIS","LOMAGNA",,"23871","LC","97.044","45,66846912059","9,37600393285","POINT (9.376003932849 45.668469120594)"
"BG0554","FARM. MANELLA DR.SSA LUCIA GIOVANNA","03663460164","VIA GUGLIELMO MARCONI","ADRARA SAN ROCCO",,"24060","BG","16.002","45,71227269513","9,95842298957","POINT (9.958422989565 45.712272695132)"
"PV0542","FARMACIA GG FARMA S.R.L.","01781880339","VIA LARDIRAGO","SANT'ALESSIO CON VIALONE",,"27016","PV","18.141","45,2273083922","9,2276942028","POINT (9.2276942028 45.2273083922)"
"BS0448","FARM. S. AGATA DI SCUDELETTI I.","03297930178","VIA DANTE, 5","BRESCIA",,"25122","BS","17.029","45,53894118198","10,21787281624","POINT (10.217872816239 45.538941181981)"
"BS0863","FARM. SANTI PIETRO E PAOLO DI LANZANI PAOLO E C. SNC","04271810980","VIA ANDREA MAI, 45","TRAVAGLIATO",,"25039","BS","17.188","45,52337498196","10,07887999065","POINT (10.078879990652 45.523374981956)"
"LC0195","F.G.S. SRL","03898510130","VIA VITTORIO EMANUELE II, 31","INTROBIO",,"23815","LC","97.040","45,97622599265","9,45012066022","POINT (9.45012066022 45.976225992654)"
"MI1091","FARMACIA COMUNALE 1 MELZO","07275390966","VIA CASANOVA, 6","MELZO",,"20066","MI","15.142","45,50030919979","9,42478887244","POINT (9.424788872444 45.500309199793)"
